Major,Degree Type,Early Career Pay,Mid-Career Pay
Petroleum Engineering,Bachelors,92300,182000
Electrical Engineering & Computer Science (EECS),Bachelors,101200,152300
Applied Economics and Management,Bachelors,60900,139600
Operations Research,Bachelors,78400,139600
Public Accounting,Bachelors,60000,138800
Chemical Engineering/Materials Science & Engineering,Bachelors,74500,137800
Quantitative Business Analysis,Bachelors,67900,136200
Pharmacy,Bachelors,66300,133200
Aeronautics & Astronautics,Bachelors,74000,133100
Systems Engineering,Bachelors,74000,132900
Electrical Power Engineering,Bachelors,73100,130700
Actuarial Mathematics,Bachelors,61900,130500
Aerospace Studies,Bachelors,50300,130300
Chemical Engineering,Bachelors,73500,128900
Actuarial Science,Bachelors,64700,128700
Information & Computer Science,Bachelors,70300,127600
Aeronautical Engineering,Bachelors,71600,125900
Operations & Information Systems Management,Bachelors,63800,125100
Political Economy,Bachelors,58200,125100
Marine Engineering,Bachelors,74700,125000
Computer Systems Engineering,Bachelors,74600,124800
Nuclear Engineering,Bachelors,73100,124500
Computer Science (CS) & Engineering,Bachelors,74000,124000
Corporate Accounting & Finance,Bachelors,61200,123600
Electrical & Computer Engineering (ECE),Bachelors,73900,123300
Computer Engineering (CE),Bachelors,74600,123200
Econometrics,Bachelors,60700,123000
Building Science,Bachelors,51100,122500
Mechatronics,Bachelors,70200,122300
Quantitative Economics,Bachelors,62000,121900
Foreign Affairs,Bachelors,52200,121800
Welding Engineering,Bachelors,76900,121800
Economics and Mathematics,Bachelors,65000,121400
Electrical Engineering (EE),Bachelors,71800,121400
Cognitive Science,Bachelors,64100,121100
Control Engineering,Bachelors,69900,121100
Geophysics,Bachelors,56900,120600
Pharmacology,Bachelors,55000,120600
Instrumentation & Control Engineering,Bachelors,69000,120500
Computational & Applied Mathematics,Bachelors,69700,120100
Marine Transportation Management,Bachelors,67800,120100
Aerospace Engineering,Bachelors,70700,119800
Ocean Engineering (OE),Bachelors,65100,119700
Astronomy,Bachelors,54300,119600
Mechanical & Aeronautical Engineering,Bachelors,66900,119600
Chemical & Biomolecular Engineering,Bachelors,74000,118700
Computer Science (CS) & Mathematics,Bachelors,66800,118500
Bioscience,Bachelors,48400,118300
Electrical & Electronics Engineering (EEE),Bachelors,71300,118100
Metallurgical Engineering,Bachelors,79100,117700
Aeronautical/Aerospace Engineering Technology,Bachelors,73400,117500
Materials Engineering,Bachelors,69100,117500
Accounting & Economics,Bachelors,61600,117400
Industrial & Systems Engineering,Bachelors,69900,117300
Optical Science & Engineering,Bachelors,67600,117100
Computer Science (CS),Bachelors,70700,116500
Biomedical Engineering (BME),Bachelors,67700,116300
Materials Science,Bachelors,62700,116200
Electronics & Communications Engineering,Bachelors,61500,116100
Mining Engineering,Bachelors,75200,116100
Engineering,Bachelors,66500,116000
Applied Mathematics,Bachelors,64400,115500
Integrated Science & Technology,Bachelors,62500,115500
Petroleum Land Management,Bachelors,60600,115400
Bioengineering (BioE),Bachelors,67400,115000
Software Engineering,Bachelors,71100,114700
Operations Management & Information Systems,Bachelors,61900,114500
Statistics,Bachelors,63700,114400
Business Analysis,Bachelors,59200,114300
Computer & Information Science,Bachelors,60100,114300
Physics,Bachelors,62300,113800
Physics & Mathematics,Bachelors,61500,113600
Physics & Astronomy,Bachelors,54000,112900
Construction Engineering Management,Bachelors,64800,112700
Physician Assistant Studies,Bachelors,92900,112200
Mechanical Engineering (ME),Bachelors,67600,111500
Industrial Engineering (IE),Bachelors,68300,111400
Entrepreneurship & Marketing,Bachelors,48500,111100
Engineering Science,Bachelors,64700,111100
International Business & Finance,Bachelors,57700,111100
Materials Science & Engineering,Bachelors,69200,111100
Ceramic Engineering,Bachelors,66300,110900
International Economics,Bachelors,54600,110900
Information & Decision Sciences,Bachelors,60600,110800
Finance & Marketing,Bachelors,53400,110700
Telecommunications Engineering,Bachelors,59800,110600
Business & Economics,Bachelors,56800,110500
Mathematics & Statistics,Bachelors,59800,110000
Paper Science,Bachelors,72400,109900
Electronics Engineering,Bachelors,67600,109700
Engineering Physics,Bachelors,66700,109700
Industrial Distribution,Bachelors,60700,109700
